iso_code,countryname,gdp_per_capita,population,deaths_rate,diagnosed_rate,fatality_rate,human_development_index,aged_65_older,population_density
DJI,Djibouti,2705.406,1002197,0.00016164486622889512,0.01222613917223859181,0.01322125193830082429,0.524,4.213,41.285
DMA,Dominica,9673.367,72172,0.00020783683422934102,0.04562711300781466497,0.00455511691466747647,0.742,,98.567
DNK,Denmark,46682.515,5813302,0.00045550704229713165,0.06176558520441566600,0.00737477093092557831,0.94,19.677,136.52
DOM,Dominican Republic,14600.861,10953714,0.00036891596768000333,0.03263888394383859210,0.01130295902013051128,0.756,6.981,222.873
DZA,Algeria,13913.839,44616626,0.00012968259859004130,0.00454711658384925835,0.02851974348989781986,0.748,6.211,17.348
ECU,Ecuador,10581.936,17888474,0.00183062009649341805,0.02843478990997219774,0.06437958930906016848,0.759,7.104,66.939
EGY,Egypt,10550.206,104258327,0.000165205029618401607384,0.00289978756325142259,0.05697142498023663120,0.707,5.159,97.999
ERI,Eritrea,1510.459,3601462,0.000011661930627062009817,0.00185868960994174033,0.00627427547057066029,0.459,3.607,44.304
ESP,Spain,34272.36,46745211,0.00184613563943480756,0.10592828428991367693,0.01742816521394931780,0.904,19.436,93.105
EST,Estonia,29481.252,1325188,0.00101570494148754743,0.11615408530714132636,0.00874446162441692761,0.892,19.452,31.033
ETH,Ethiopia,1729.927,117876226,0.000046141619769876242899,0.00290393586235107324,0.01588933845547099809,0.485,3.526,104.957
FIN,Finland,40585.721,5548361,0.00019266951086996682,0.02517464166444829383,0.00765331691461790690,0.938,21.228,18.136
FJI,Fiji,8702.975,902899,0.00065566580536693473,0.05627096718459096754,0.01165193772511661779,0.743,6.224,49.562
FRA,France,38605.671,67564251,0.00173584400425011742,0.10489437676146221172,0.01654849437923215528,0.901,19.718,122.578
FSM,Micronesia (country),3299.464,116255,,0.000008601780568577695583,,0.62,4.81,150.777
GAB,Gabon,16562.413,2278829,0.000080304401953810487755,0.01295182745173069151,0.00620023716754192783,0.703,4.45,7.859
GBR,United Kingdom,39753.244,68207114,0.00200226914746752076,0.11344771162726515595,0.01764926871373146939,0.932,18.517,272.898
GEO,Georgia,9745.079,3979773,0.00222223729845898246,0.15256020883603160281,0.01456629690935593053,0.812,14.864,65.032
GHA,Ghana,4227.63,31732128,0.000036240872342378046628,0.00400275707951259997,0.00905397745165963343,0.611,3.385,126.719
GIN,Guinea,1998.926,13497237,0.000028005731839783208963,0.00224964561265390835,0.01244895270715320775,0.477,3.135,51.755
GMB,Gambia,1561.767,2486937,0.00013470385458095641,0.00399286351041461846,0.03373615307150050352,0.496,2.339,207.566
GNB,Guinea-Bissau,1548.675,2015490,0.000066981230370778321897,0.00302606314097316285,0.02213477619281849484,0.48,3.002,66.191
GNQ,Equatorial Guinea,22604.873,1449891,0.000097938396748445227952,0.00814268107050805888,0.01202778248348297476,0.592,2.846,45.194
GRC,Greece,24574.382,10370747,0.00142005199818296599,0.06249221970220660093,0.02272366072048524050,0.888,20.396,83.479
GRD,Grenada,13593.877,113015,0.00115028978454187497,0.04428615670486218644,0.02597402597402597403,0.779,7.304,317.132
GTM,Guatemala,7423.808,18249868,0.00073392311659459674,0.03015545098737152510,0.02433799172501013023,0.663,4.694,157.834
